insertid,Region_Code,REGION,RSM_Code,RSM_Area,SO,Distributor_Code,Distributor_Name,distributor_channel_type,distributor_type,distributor_city,distributor_state,UID,RetailerCode,RetailerName,SalesMan_Code,SalesMan_Name,Sales_Rep_Phone,saleman_role,Type,outlet_type,Sub_Type,Price_Group,Retailer_Group,Route_Code,Route_Name,warehouse_id,Category_Code,Category_Name,Sub_Channel_Code,Sub_Channel_Name,Channel_Code,Channel_Name,Class_Name,ACCOUNT_CODE,ACCOUNT_NAME,PAN_No,GST_No,Address_1,Address_2,Address_3,Address_4,outlet_pin_code,Town,City,State,latitude,longitude,Contact_Name,Mobile,Email,owner_name,owner_mobile,Aadhar,Credit_Limit,Credit_Period,cash_credit,source,Location_Code,Location_Name,Return_Qty,Return_Value,FSSAI_No,FSSAI_Exp_Date,Retailer_Created_On,outlet_createdby_id,outlet_createdbyname,Modified_Date,Retailer_Reference_Code,IsActive,last_order_date,last_invoice_date,otp_verified
839,-,North,-,-,-,1100730851,M/S KRISHNA ENTERPRISES,GT,Super Redistribution Wholesaler,Aligarh,UTTAR PRADESH,-,746726,DURGA MEDICAL STORE,2869,SAURAV KUMAR,,USR,-,Pharma Sub Redistribution Wholesaler,-,-,-,-,-,628,-,-,-,-,-,-,-,-,-,-,09ATSPP8663R1Z5,,-,-,-,,Atrauli,Aligarh,TRIPURA,0.000000,0.000000,-,9917007001,-,-,-,-,888888888,805,credit,web,-,-,0,0.00,,-,45162,,KRISHNA ENTERPRISES,45748,-,1,45797,45797,NULL
"840, '-', 'South', '-', '-', '-', '1100728777', 'DHANVANTHRI DISTRIBUTORS', 'GT', 'Hybrid Redistribution Wholesaler', 'Mandya', 'KARNATAKA', '-', '746730', 'SRI GANESHA ENTERPRISES', '2805', 'H S Mahadev swamy', '', 'USR', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '128', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '29AAWPV6511B1ZA', '', '-', '-', '-', '', 'Nagamangala (TP"
841,-,North,-,-,-,1100730853,M/S DUMIR TRADERS,GT,Super Redistribution Wholesaler,Moradabad,UTTAR PRADESH,-,746743,M/S SHIVA AUSHADHI BHANDAR,6615,SANJAY SHARMA,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,606,-,-,-,-,-,-,-,-,-,-,09FXEPK5072E1ZD,,-,-,-,,naroli,Sambhal,HARYANA,0.000000,0.000000,-,8077388978,-,-,-,-,888888888,805,credit,web,-,-,0,0.00,,-,45162,,Dumir Traders,45748,-,1,45790,45790,NULL
"842, '-', 'West', '-', '-', '-', '1100730849', 'STAR MARKETING', 'GT', 'Super Redistribution Wholesaler', 'Bajwa', 'GUJARAT', '-', '746745', 'VINDHA VASINI ENTERPRISES (BODELI"
"843, '-', 'North', '-', '-', '-', '1100730326', 'S M B DYNAMIC SALES', 'GT', 'Super Redistribution Wholesaler', 'Fatehgarh Sahib', 'PUNJAB', '-', '746746', 'NANGAL Agencies', '1928', 'MUNISH KUMAR', '', 'USR', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '281', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '', '-', '-', '-', '', 'Nangal (431"
"844, '-', 'West', '-', '-', '-', '1100730248', 'MAHESH ENTERPRISES', 'GT', 'Super Redistribution Wholesaler', 'Jalgaon', 'MAHARASHTRA', '-', '746748', 'SHRI RANGNATH ENTERPRISES(GSK"
M Cl
"845, '-', 'North', '-', '-', '-', '1100727758', 'JALANDHAR SALES & CO.', 'GT', 'Hybrid Redistribution Wholesaler', 'Jalandhar', 'PUNJAB', '-', '746751', 'Krishan Lal Siri Ram', '2102', 'SUNIL KUMAR', '', 'USR', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '98', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '03AABFK1798E1ZK', '', '-', '-', '-', '', 'Banga (470"
"846, '-', 'West', '-', '-', '-', '1100730601', 'VICTOR MARKETING', 'GT', 'Super Redistribution Wholesaler', 'Indore', 'MADHYA PRADESH', '-', '746755', 'SHRI YASH AGENCIES [RAU]', '6534', 'ANAND RATHORE', '', 'USR', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '312', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '23AGMPC0899D1ZK', '', '-', '-', '-', '', 'Rau (NP"
847,-,North,-,-,-,1100730326,S M B DYNAMIC SALES,GT,Super Redistribution Wholesaler,Fatehgarh Sahib,PUNJAB,-,746756,Sahni Medicine Traders,1928,MUNISH KUMAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,281,-,-,-,-,-,-,-,-,-,-,03AKRPS1804K1ZY,,-,-,-,,Mubarkpur,MUBARAKPUR,HARYANA,0.000000,0.000000,-,9356203474,-,-,-,-,888888888,805,credit,mobile,-,-,0,0.00,2212669000315,-,45162,,MUNISH KUMAR,45748,-,1,45783,45784,NULL
848,-,West,-,-,-,1100733204,SHREE KRISHNA SALES,GT,Super Redistribution Wholesaler,Nadiad,GUJARAT,-,746757,Roshani Novelty,4391,Jaydip Kumar Vaghela,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,9035,-,-,-,-,-,-,-,-,-,-,24AWOPS1174R1ZO,,-,-,-,,Balasinor,Nadiad,UTTAR PRADESH,0.000000,0.000000,-,9033048401,-,-,-,-,100000,365,credit,mobile,-,-,0,0.00,,-,45162,,Jaimil Makwana,45748,-,1,45789,45789,NULL
"849, '-', 'North', '-', '-', '-', '1100727758', 'JALANDHAR SALES & CO.', 'GT', 'Hybrid Redistribution Wholesaler', 'Jalandhar', 'PUNJAB', '-', '746759', 'Sareen Medical Hall', '2742', 'NAVDEEP SINGH', '', 'USR', '-', 'Pharma Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '98', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '03ABRPS4863R1ZM', '', '-', '-', '-', '', 'Bhogpur (NP"
850,-,South,-,-,-,1100737801,Lakshmi Agencies,GT,Hybrid Redistribution Wholesaler,Warangal,TELANGANA,-,746761,SRI KRISHNA AGENCIES,7291,ARSHAM JITHENDER,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,14404,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,Kesamudram,Kesamudram,UTTAR PRADESH,0.000000,0.000000,-,9642943514,-,-,-,-,9999999999,1000,credit,mobile,-,-,0,0.00,,-,45162,,Byraboina Raj Krishna,45748,-,1,45790,45777,NULL
851,-,North,-,-,-,1100730853,M/S DUMIR TRADERS,GT,Super Redistribution Wholesaler,Moradabad,UTTAR PRADESH,-,746762,BHAGWATI MEDIACL AGENCY,2600,Ritesh kappor,,USR,-,Pharma Sub Redistribution Wholesaler,-,-,-,-,-,606,-,-,-,-,-,-,-,-,-,-,09AAKFB3008R1Z2,,-,-,-,,gagan,Moradabad,BIHAR,0.000000,0.000000,-,7906505866,-,-,-,-,888888888,805,credit,web,-,-,0,0.00,,-,45162,,Dumir Traders,45748,-,1,45787,45787,NULL
"852, '-', 'West', '-', '-', '-', '1100730849', 'STAR MARKETING', 'GT', 'Super Redistribution Wholesaler', 'Bajwa', 'GUJARAT', '-', '746763', 'VEE GEE SALES AGENCY (ANKLESHWAR"
M + OG
"853, '-', 'North', '-', '-', '-', '1100727758', 'JALANDHAR SALES & CO.', 'GT', 'Hybrid Redistribution Wholesaler', 'Jalandhar', 'PUNJAB', '-', '746764', 'M/S. Kalia Agencies', '2102', 'SUNIL KUMAR', '', 'USR', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '98', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '03ANAPK7785R1ZB', '', '-', '-', '-', '', 'Hariana (76"
854,-,East,-,-,-,1100737149,NARAYAN & CO,GT,Hybrid Redistribution Wholesaler,MURSHIDABAD,WEST BENGAL,-,746765,G S ENTERPRISE,6250,PRAKRITI BHUSAN SARKAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,11036,-,-,-,-,-,-,-,-,-,-,19ETIPS3337H1Z7,,-,-,-,,Murshidabad Jiaganj,Murshidabad Jiaganj,BIHAR,0.000000,0.000000,-,9378248468,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,OM ENTERPRISE,45748,-,1,45777,45777,NULL
855,-,North,-,-,-,1100730853,M/S DUMIR TRADERS,GT,Super Redistribution Wholesaler,Moradabad,UTTAR PRADESH,-,746766,RAJESH MEDICOSE,2600,Ritesh kappor,,USR,-,Pharma Sub Redistribution Wholesaler,-,-,-,-,-,606,-,-,-,-,-,-,-,-,-,-,09BMXPD0606F1Z3,,-,-,-,,dignapur,Moradabad,MAHARASHTRA,0.000000,0.000000,-,9758464829,-,-,-,-,888888888,805,credit,web,-,-,0,0.00,,-,45162,,Dumir Traders,45748,-,1,45796,45796,NULL
856,-,North,-,-,-,1100727758,JALANDHAR SALES & CO.,GT,Hybrid Redistribution Wholesaler,Jalandhar,PUNJAB,-,746769,Hari Kishan Jiwan Kumar Nanda,2742,NAVDEEP SINGH,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,98,-,-,-,-,-,-,-,-,-,-,03AAGPN1366A1ZB,,-,-,-,,Dasuya,DASUA,BIHAR,0.000000,0.000000,-,9815562126,-,-,-,-,999999999,805,credit,mobile,-,-,0,0.00,12116421000116,-,45162,,SUNIL KUMAR,45748,-,1,45797,45798,NULL
"857, '-', 'North', '-', '-', '-', '1100730326', 'S M B DYNAMIC SALES', 'GT', 'Super Redistribution Wholesaler', 'Fatehgarh Sahib', 'PUNJAB', '-', '746770', 'Munish Trading Co.', '7611', 'PARVEEN SAINI', '', 'USR', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '281', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '', '-', '-', '-', '', 'Sirhind Fatehgarh Sahib (M Cl"
858,-,North,-,-,-,1100730851,M/S KRISHNA ENTERPRISES,GT,Super Redistribution Wholesaler,Aligarh,UTTAR PRADESH,-,746771,M/S AGRAWAL TRADERS,2404,RAHUL PATHAK,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,628,-,-,-,-,-,-,-,-,-,-,09ACZPK6890P1Z5,,-,-,-,,SADABHAD,Hathras,BIHAR,0.000000,0.000000,-,9927651708,-,-,-,-,888888888,805,credit,web,-,-,0,0.00,,-,45162,,KRISHNA ENTERPRISES,45748,-,1,45792,45792,NULL
859,-,East,-,-,-,1100737149,NARAYAN & CO,GT,Hybrid Redistribution Wholesaler,MURSHIDABAD,WEST BENGAL,-,746772,BISWAS ENTERPRISE,1900,KOUSHIK SARKAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,11036,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,Nawda,Nawda,BIHAR,0.000000,0.000000,-,8768581968,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,OM ENTERPRISE,45748,-,1,45797,45797,NULL
860,-,North,-,-,-,1100726780,M/S.TEA LEAF INDIA,GT,Hybrid Redistribution Wholesaler,Varanasi,UTTAR PRADESH,-,746773,M/S SHRI SHYAMA SHYAM TRADING,6727,Sher Singh,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,09CTYPK0208D1ZM,,-,-,-,,Ahraura,Varanasi,BIHAR,0.000000,0.000000,-,7007438202,-,-,-,-,888888888,805,credit,web,-,-,0,0.00,12720042000053,-,45162,,M/S.TEA LEAF INDIA,45748,-,1,45793,45793,NULL
861,-,East,-,-,-,1100737149,NARAYAN & CO,GT,Hybrid Redistribution Wholesaler,MURSHIDABAD,WEST BENGAL,-,746793,SAHA TRADERS,1900,KOUSHIK SARKAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,11036,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,Baharampur,Baharampur,HARYANA,0.000000,0.000000,-,8250097101,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,OM ENTERPRISE,45748,-,1,45797,45797,NULL
862,-,East,-,-,-,1100737149,NARAYAN & CO,GT,Hybrid Redistribution Wholesaler,MURSHIDABAD,WEST BENGAL,-,746812,RENUKA AGENCY,1900,KOUSHIK SARKAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,11036,-,-,-,-,-,-,-,-,-,-,19BLZPB5596B1ZL,,-,-,-,,Nawda,Nawda,BIHAR,0.000000,0.000000,-,7074308849,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,OM ENTERPRISE,45761,-,1,45762,45762,NULL
863,-,East,-,-,-,1100729942,NIRMAL DISTRIBUTORS,GT,Hybrid Redistribution Wholesaler,Begusarai,BIHAR,-,746822,SRI HANUMAN DRUGS,4492,Sudhir Kumar Sinha,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,194,-,-,-,-,-,-,-,-,-,-,10AGWPN4657J2ZW,,-,-,-,,Begusarai,Begusarai,UTTAR PRADESH,0.000000,0.000000,-,7992276652,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,NIRMAL DISTRIBUTORS,45748,-,1,45794,45796,NULL
864,-,North,-,-,-,1100730337,SHIV AGENCIES HMO,GT,Hybrid Redistribution Wholesaler,Hanumangarh,RAJASTHAN,-,746843,Baba traders,1953,Ganesh Purohit,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,279,-,-,-,-,-,-,-,-,-,-,08ABIPL6241P1Z4,,-,-,-,,ANOOPGARH,Suratgarh,TAMIL NADU,0.000000,0.000000,-,9414507552,-,-,-,-,888888888,805,credit,mobile,-,-,0,0.00,,-,45162,,Ganesh Purohit,45748,-,1,45789,45789,NULL
"865, '-', 'West', '-', '-', '-', '1100730248', 'MAHESH ENTERPRISES', 'GT', 'Super Redistribution Wholesaler', 'Jalgaon', 'MAHARASHTRA', '-', '746844', 'SHRIRAM MEDICAL AGENCIES(GSK"
M Cl
866,-,East,-,-,-,1100729942,NIRMAL DISTRIBUTORS,GT,Hybrid Redistribution Wholesaler,Begusarai,BIHAR,-,746845,UJALA AGENCY,4492,Sudhir Kumar Sinha,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,194,-,-,-,-,-,-,-,-,-,-,10IRYPS9073L1ZN,,-,-,-,,Begusarai,Begusarai,UTTAR PRADESH,0.000000,0.000000,-,9934952270,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,10421330000138,-,45162,,NIRMAL DISTRIBUTORS,45748,-,1,,45492,NULL
867,-,North,-,-,-,1100728958,A B TRADING COMPANY,GT,Hybrid Redistribution Wholesaler,Alwar,RAJASTHAN,-,746851,JAI MANGAL MEDICOSE BEHROR,1952,Arvind Kumar,,USR,-,Pharma Sub Redistribution Wholesaler,-,-,-,-,-,146,-,-,-,-,-,-,-,-,-,-,08AEVPA4478F1Z6,,-,-,-,,BEHROR,Alwar,BIHAR,0.000000,0.000000,-,9414490207,-,-,-,-,888888888,805,credit,web,-,-,0,0.00,,-,45162,,A B TRADING COMPANY,45748,-,1,45780,45780,NULL
868,-,North,-,-,-,1100730853,M/S DUMIR TRADERS,GT,Super Redistribution Wholesaler,Moradabad,UTTAR PRADESH,-,746855,SHUBHAM MEDICAL STORE,6843,Mithun Thakur,,USR,-,Pharma Sub Redistribution Wholesaler,-,-,-,-,-,606,-,-,-,-,-,-,-,-,-,-,09HAWPS3238B1Z6,,-,-,-,,Malakpur,Moradabad,UTTAR PRADESH,0.000000,0.000000,-,9690100703,-,-,-,-,888888888,805,credit,web,-,-,0,0.00,,-,45162,,Dumir Traders,45748,-,1,45791,45791,NULL
869,-,East,-,-,-,1100737149,NARAYAN & CO,GT,Hybrid Redistribution Wholesaler,MURSHIDABAD,WEST BENGAL,-,746860,MAHAFEJUR RAHAMAN,1899,DIPANKAR SARKAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,11036,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,CHANDPUR,Baharampur,BIHAR,0.000000,0.000000,-,9735240655,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,OM ENTERPRISE,45748,-,1,45787,45787,NULL
870,-,East,-,-,-,1100729942,NIRMAL DISTRIBUTORS,GT,Hybrid Redistribution Wholesaler,Begusarai,BIHAR,-,746865,VARNVAL KIRANA STORE,4492,Sudhir Kumar Sinha,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,194,-,-,-,-,-,-,-,-,-,-,10AJXPL3172A1ZI,,-,-,-,,Begusarai,Begusarai,BIHAR,0.000000,0.000000,-,9931484387,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,NIRMAL DISTRIBUTORS,45748,-,1,45729,45729,NULL
871,-,East,-,-,-,1100737149,NARAYAN & CO,GT,Hybrid Redistribution Wholesaler,MURSHIDABAD,WEST BENGAL,-,746866,SHANTI TRADERS,1899,DIPANKAR SARKAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,11036,-,-,-,-,-,-,-,-,-,-,19EWHPK1364L1Z2,,-,-,-,,Jangipur,Jangipur,UTTAR PRADESH,0.000000,0.000000,-,7699833245,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,OM ENTERPRISE,45748,-,1,45795,45795,NULL
872,-,North,-,-,-,1100730326,S M B DYNAMIC SALES,GT,Super Redistribution Wholesaler,Fatehgarh Sahib,PUNJAB,-,746874,P.C JAIN & COMPANY,1928,MUNISH KUMAR,,USR,-,Pharma Sub Redistribution Wholesaler,-,-,-,-,-,281,-,-,-,-,-,-,-,-,-,-,03AGOPJ9177B1ZC,,-,-,-,,Kharar,KHARAR,UTTAR PRADESH,0.000000,0.000000,-,9988389896,-,-,-,-,888888888,805,credit,mobile,-,-,0,0.00,22120676000789,-,45162,,MUNISH KUMAR,45748,-,1,45791,45792,NULL
873,-,East,-,-,-,1100737149,NARAYAN & CO,GT,Hybrid Redistribution Wholesaler,MURSHIDABAD,WEST BENGAL,-,746885,TAPAN ENTERPRISE,1899,DIPANKAR SARKAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,11036,-,-,-,-,-,-,-,-,-,-,19DDOPS4581L1ZI,,-,-,-,,Baharampur,Baharampur,UTTAR PRADESH,0.000000,0.000000,-,9046994043,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,OM ENTERPRISE,45748,-,1,45795,45795,NULL
874,-,East,-,-,-,1100737149,NARAYAN & CO,GT,Hybrid Redistribution Wholesaler,MURSHIDABAD,WEST BENGAL,-,746892,SOMNATH GHOSH,1899,DIPANKAR SARKAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,11036,-,-,-,-,-,-,-,-,-,-,19AUOPG2825K1Z9,,-,-,-,,RAGHUNATHGANJ,Jangipur,UTTAR PRADESH,0.000000,0.000000,-,9732805472,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,OM ENTERPRISE,45748,-,1,45797,45797,NULL
875,-,North,-,-,-,1100729063,OORJA MARKETING,GT,Super Redistribution Wholesaler,Jaipur,RAJASTHAN,-,746902,K.K. AGENCIES,1955,Rohit sharma,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,167,-,-,-,-,-,-,-,-,-,-,08ACSPM7592D1Z0,,-,-,-,,BARI,Jaipur,UTTAR PRADESH,0.000000,0.000000,-,919414029790,-,-,-,-,888888888,805,credit,web,-,-,0,0.00,,-,45162,,OORJA MARKETING,45748,-,1,45787,45787,NULL
"876, '-', 'North', '-', '-', '-', '1100730326', 'S M B DYNAMIC SALES', 'GT', 'Super Redistribution Wholesaler', 'Fatehgarh Sahib', 'PUNJAB', '-', '746928', 'Arora Medicose', '7611', 'PARVEEN SAINI', '', 'USR', '-', 'Pharma Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '281', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '', '-', '-', '-', '', 'Sirhind Fatehgarh Sahib (M Cl"
"877, '-', 'East', '-', '-', '-', '1100730765', 'JAYSHREE COMMUNICATIONS', 'GT', 'Hybrid Redistribution Wholesaler', 'Purulia', 'WEST BENGAL', '-', '746933', 'SHREE AMBEY AGENCY', '4478', 'Manash Mukherjee', '', 'USR', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '374', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '19ADIPH2592K1Z5', '', '-', '-', '-', '', 'Jhalda (M"
878,-,North,-,-,-,1100729063,OORJA MARKETING,GT,Super Redistribution Wholesaler,Jaipur,RAJASTHAN,-,746950,LAJJARAM & COMPANY,1955,Rohit sharma,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,167,-,-,-,-,-,-,-,-,-,-,08AAAHL2930C1ZQ,,-,-,-,,DHAULPUR,Dhaulpur,UTTAR PRADESH,0.000000,0.000000,-,9414206930,-,-,-,-,888888888,805,credit,web,-,-,0,0.00,,-,45162,,OORJA MARKETING,45748,-,1,45793,45793,NULL
"879, '-', 'North', '-', '-', '-', '1100729063', 'OORJA MARKETING', 'GT', 'Super Redistribution Wholesaler', 'Jaipur', 'RAJASTHAN', '-', '746963', 'KRISHNA SALES', '2364', 'DEVESH SHARMA', '', 'USR', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '167', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '08ARLPA8820G1ZT', '', '-', '-', '-', '', 'Phulera (M + OG"
"880, '-', 'East', '-', '-', '-', '1100730765', 'JAYSHREE COMMUNICATIONS', 'GT', 'Hybrid Redistribution Wholesaler', 'Purulia', 'WEST BENGAL', '-', '746983', 'ADVANCE DISTRIBUTOR', '4478', 'Manash Mukherjee', '', 'USR', '-', 'Pharma Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '374', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '19ABVFA0092L1ZV', '', '-', '-', '-', '', 'Jaypur (CT"
881,-,North,-,-,-,1100730326,S M B DYNAMIC SALES,GT,Super Redistribution Wholesaler,Fatehgarh Sahib,PUNJAB,-,746992,Mahesh Gernal Store,1928,MUNISH KUMAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,281,-,-,-,-,-,-,-,-,-,-,03EHKPK1122E1ZY,,-,-,-,,Gajju khera,DERA BASSI,TAMIL NADU,0.000000,0.000000,-,8591003005,-,-,-,-,888888888,805,credit,mobile,-,-,0,0.00,,-,45162,,MUNISH KUMAR,45748,-,1,45784,45784,NULL
882,-,East,-,-,-,1100730765,JAYSHREE COMMUNICATIONS,GT,Hybrid Redistribution Wholesaler,Purulia,WEST BENGAL,-,746994,AMIT HANSIA,4478,Manash Mukherjee,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,374,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,Purulia,Purulia,UTTAR PRADESH,0.000000,0.000000,-,7001630377,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,JAYSHREE COMMUNICATIONS,45748,-,1,45322,45322,NULL
"883, '-', 'North', '-', '-', '-', '1100730326', 'S M B DYNAMIC SALES', 'GT', 'Super Redistribution Wholesaler', 'Fatehgarh Sahib', 'PUNJAB', '-', '747003', 'Jindle Medicose', '7611', 'PARVEEN SAINI', '', 'USR', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '281', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '', '-', '-', '-', '', 'Bhadson (NP"
884,-,East,-,-,-,1100730028,BHADANI & BROTHERS,GT,Hybrid Redistribution Wholesaler,Nalanda,BIHAR,-,747023,NEW KALYAN MEDICAL HALL,2002,RAVI SHANKAR KUMAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,225,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,Bihar Sharif,Bihar Sharif,TAMIL NADU,0.000000,0.000000,-,9006876588,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,BHADANI AND BROTHERS,45748,-,1,45780,45780,NULL
885,-,East,-,-,-,1100730765,JAYSHREE COMMUNICATIONS,GT,Hybrid Redistribution Wholesaler,Purulia,WEST BENGAL,-,747027,PRADIP MEGA STORE,4235,UTTAM CHEL,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,374,-,-,-,-,-,-,-,-,-,-,19BITPA9970M1Z9,,-,-,-,,Kashipur,Purulia,UTTAR PRADESH,0.000000,0.000000,-,7908060169,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,JAYSHREE COMMUNICATIONS,45757,-,1,45797,45797,NULL
886,-,East,-,-,-,1100730765,JAYSHREE COMMUNICATIONS,GT,Hybrid Redistribution Wholesaler,Purulia,WEST BENGAL,-,747032,PRASENJIT VARIETY,4235,UTTAM CHEL,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,374,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,Purulia,Purulia,TAMIL NADU,0.000000,0.000000,-,7063661086,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,JAYSHREE COMMUNICATIONS,45748,-,1,45773,45773,NULL
887,-,East,-,-,-,1100729974,GOURI SANKAR AGENCY,GT,Hybrid Redistribution Wholesaler,COOCH BEHAR,WEST BENGAL,-,747037,ROY AND BISWAS AGENCY,2022,SUMAN GUHA MAJUMDAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,192,-,-,-,-,-,-,-,-,-,-,19ABDFR6150N1ZP,,-,-,-,,Coochbehar,Coochbehar,RAJASTHAN,0.000000,0.000000,-,9563876561,-,-,-,-,9999999999.99999,356,credit,web,-,-,0,0.00,,-,45162,,GOURI SANKAR AGENCY,45748,-,1,45535,45738,NULL
888,-,South,-,-,-,1100727133,PRITHVI AGENCIES,GT,Hybrid Redistribution Wholesaler,Hubli,KARNATAKA,-,747040,SHRI SANGAMESHWAR AGENCIES LAXMESHWAR,7267,GOVIND K BATTUR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,60,-,-,-,-,-,-,-,-,-,-,29AEFPH8749L1ZS,,-,-,-,,LAXMESHWAR,Gadag,RAJASTHAN,0.000000,0.000000,-,918105456451,-,-,-,-,10000000,365,credit,web,-,-,0,0.00,,-,45162,,Prithvi Agencies,45748,-,1,45769,45772,NULL
"889, '-', 'West', '-', '-', '-', '1100739644', 'AJAY SALES', 'GT', 'Super Redistribution Wholesaler', 'Chhindwara', 'MADHYA PRADESH', '-', '747052', 'SHUBH TRADERS(CHHAPARA"
890,-,East,-,-,-,1100729974,GOURI SANKAR AGENCY,GT,Hybrid Redistribution Wholesaler,COOCH BEHAR,WEST BENGAL,-,747061,SAGARIKA ENTERPRISE,6364,TINKU DUTTA,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,192,-,-,-,-,-,-,-,-,-,-,19BZAPD2261G2ZP,,-,-,-,,Alipurduar,Alipurduar,WEST BENGAL,0.000000,0.000000,-,9733144393,-,-,-,-,9999999999.99999,356,credit,web,-,-,0,0.00,,-,45162,,GOURI SANKAR AGENCY,45748,-,1,45532,45791,NULL
891,-,East,-,-,-,1100730662,AMIT KUMAR SEN,GT,Hybrid Redistribution Wholesaler,HOOGHLY,WEST BENGAL,-,747070,RADHAKRISHNA ENTERPRISE,5483,KRISHNENDU SEAL,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,354,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,Keshabpur,TARAKESWAR,BIHAR,0.000000,0.000000,-,9932570693,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45162,,AMIT KUMAR SEN,45748,-,1,45758,45758,NULL
